 20251219	 13:20:46	3848991647	4117B	2378	9.644954E+01	2.220274E+01
 20251219	 13:21:16	3848991677	4117B	2378	9.645642E+01	2.218649E+01
 20251219	 13:21:46	3848991707	4117B	2378	9.643443E+01	2.217598E+01
 20251219	 13:22:16	3848991737	4117B	2378	9.644830E+01	2.216576E+01
 20251219	 13:22:46	3848991767	4117B	2378	9.645583E+01	2.215671E+01
 20251219	 13:23:16	3848991797	4117B	2378	9.645705E+01	2.214869E+01
 20251219	 13:23:46	3848991827	4117B	2378	9.643856E+01	2.213980E+01
 20251219	 13:24:16	3848991857	4117B	2378	9.644118E+01	2.212906E+01
 20251219	 13:24:46	3848991887	4117B	2378	9.643825E+01	2.212636E+01
 20251219	 13:25:16	3848991917	4117B	2378	9.643695E+01	2.212046E+01
 20251219	 13:25:46	3848991947	4117B	2378	9.643699E+01	2.211194E+01
 20251219	 13:26:16	3848991977	4117B	2378	9.645969E+01	2.210416E+01
 20251219	 13:26:46	3848992007	4117B	2378	9.643585E+01	2.210011E+01
 20251219	 13:27:16	3848992037	4117B	2378	9.644310E+01	2.209439E+01
 20251219	 13:27:46	3848992067	4117B	2378	9.645039E+01	2.208859E+01
 20251219	 13:28:16	3848992097	4117B	2378	9.643176E+01	2.208280E+01
 20251219	 13:28:46	3848992127	4117B	2378	9.643717E+01	2.207786E+01
 20251219	 13:29:16	3848992157	4117B	2378	9.643909E+01	2.207130E+01
 20251219	 13:29:46	3848992187	4117B	2378	9.643470E+01	2.206862E+01
 20251219	 13:30:16	3848992217	4117B	2378	9.643925E+01	2.206255E+01
 20251219	 13:30:46	3848992247	4117B	2378	9.642745E+01	2.206030E+01
 20251219	 13:31:16	3848992277	4117B	2378	9.644962E+01	2.205356E+01
 20251219	 13:31:46	3848992307	4117B	2378	9.644742E+01	2.204943E+01
 20251219	 13:32:16	3848992337	4117B	2378	9.641983E+01	2.204426E+01
 20251219	 13:32:46	3848992367	4117B	2378	9.643970E+01	2.204202E+01
 20251219	 13:33:16	3848992397	4117B	2378	9.644898E+01	2.203795E+01
 20251219	 13:33:46	3848992427	4117B	2378	9.643480E+01	2.203474E+01
 20251219	 13:34:16	3848992457	4117B	2378	9.644255E+01	2.203083E+01
 20251219	 13:34:46	3848992487	4117B	2378	9.643246E+01	2.202806E+01
 20251219	 13:35:16	3848992517	4117B	2378	9.642920E+01	2.202320E+01
 20251219	 13:35:46	3848992547	4117B	2378	9.642175E+01	2.201806E+01
 20251219	 13:36:16	3848992577	4117B	2378	9.643285E+01	2.201607E+01
 20251219	 13:36:46	3848992607	4117B	2378	9.643616E+01	2.201523E+01
